,date,tweet_text
118,2020-03-25 06:51:30,"Good Wishes for a joyous Gudi Padwa and a Happy New Year with a plenty of Peace and Prosperity.
May God give all th… https://t.co/YNhLg2uVvS"
119,2020-03-25 06:51:41,"Don't worry much, follow the guidelines of Govt sincerely.  We citizens of India &amp; our families are safe, if we rem… https://t.co/79bostM2PH"
120,2020-03-25 06:52:20,A critic is a person who doesn't know where to go but keeps questioning the driver herself. (Adaptation of the orig… https://t.co/nRnhJ9AP4G
121,2020-03-25 06:52:48,Social Distances the ingenuity of the India #coronavirusindia #Corona #COVID19 https://t.co/jBb0QzQWnf
122,2020-03-25 06:54:49,"@Swamii_says Swami in isolation since 4 days, coz of corona virus &amp; now there's another one coming Hantavirus https://t.co/60fNxHVdac"
123,2020-03-25 06:55:25,"Due to corona eruption Rajyasabha elections scheduled on 26 march postponed,by govt of India.However @MP BJP insist… https://t.co/2AMTCj4lyh"
124,2020-03-25 06:55:50,"We need to keep using Zamzam water to avoid the Corona virus,
Because The prophet Sallallahu alaihi  wasallam said… https://t.co/uXKjRV6zKM"
125,2020-03-25 06:56:31,@amjedmbt @HforHyderabad @TelanganaCMO @hydcitypolice @TelanganaDGP @KTRTRS @KTRoffice @CPHydCity LIVING IS BETTER… https://t.co/RvyM1ON7Cw
126,2020-03-25 06:56:32,Greetings &amp; best wishes on the auspicious occasion of #NavSamvatsar. May Mother Goddess give us the strength &amp; fort… https://t.co/xSGrSLJMHl
127,2020-03-25 06:56:33,@rahulkanwal @samarjeet_n @PMOIndia @realDonaldTrump Rahul are you really serious of about CORONA. Media is really.… https://t.co/VfnDgsDlED
128,2020-03-25 06:56:45,"@bjpmohanbisht @abbas_nighat Corona viruse, an invisible one cleared protestors in one minute."
129,2020-03-25 06:56:51,Well said sir https://t.co/iH95Zb31rq
130,2020-03-25 06:57:37,"Hon'ble CM Sir, plz Sanction a specific amount for Regd. Construction and building worker's during lockdown period… https://t.co/VyjlWF1FYp"
131,2020-03-25 06:58:37,Yes he is committed to fight with corona he will proved disaster 4 this dreaded virus COVID-19 but his body languag… https://t.co/kifHvqkqxR
132,2020-03-25 06:58:55,"@dmgonda2 sir amidst this Corona virus panic , people are still crowding near general stores . This creates hazard… https://t.co/p246rAkXAN"
133,2020-03-25 07:00:03,"If the corona virus dies due to heat, then the government  should make a wooden arrangement in every house so that… https://t.co/yfxrLTxs7o"
